"","year","gender","race","age_group","county","violent","property","f_drugoff","f_sexoff","f_allother","f_total","m_total","s_total"
"7787",2018,"Male","Hispanic","Under 18","Yuba County",8,0,1,0,4,13,18,0
"7788",2018,"Male","Hispanic","18 to 19","Alameda County",69,44,13,2,54,182,240,0
"7789",2018,"Male","Hispanic","18 to 19","Alpine County",0,0,0,0,0,0,0,0
"7790",2018,"Male","Hispanic","18 to 19","Amador County",0,0,0,0,0,0,3,0
"7791",2018,"Male","Hispanic","18 to 19","Butte County",7,2,0,0,7,16,63,0
"7792",2018,"Male","Hispanic","18 to 19","Calaveras County",2,0,1,0,0,3,4,0
"7793",2018,"Male","Hispanic","18 to 19","Colusa County",1,2,0,1,1,5,5,0
"7794",2018,"Male","Hispanic","18 to 19","Contra Costa County",37,27,7,2,43,116,104,0
"7795",2018,"Male","Hispanic","18 to 19","Del Norte County",0,0,0,0,0,0,1,0
"7796",2018,"Male","Hispanic","18 to 19","El Dorado County",1,2,1,0,2,6,10,0
